Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Ganna,43.54,60.45,31.84,7.6,2974.09,30.76,80.44,77.33
Ganna,102.69,88.28,49.65,6.28,1929.4,25.31,81.16,73.08
Ganna,173.17,67.54,88.02,8.01,2708.67,29.38,89.1,88.54
Ganna,126.84,50.33,104.81,6.05,1779.49,28.09,70.96,77.22
Ganna,104.3,61.59,45.12,6.39,1789.29,23.84,89.01,60.62
Ganna,108.62,81.58,31.45,8.28,1339.96,27.58,80.81,74.91
Ganna,105.94,48.12,114.14,4.69,1251.72,23.03,78.96,75.54
Ganna,83.11,29.15,71.16,5.05,2367.03,25.25,84.01,76.12
Ganna,83.51,31.56,45.99,5.84,1818.59,24.35,70.59,73.63
Ganna,43.25,45.27,119.99,7.09,2326.28,23.92,87.65,70.39
Ganna,66.49,75.09,53.33,5.89,1247.41,25.28,71.59,71.89
Ganna,125.88,35.42,50.32,6.91,2000.36,27.06,78.31,80.71
Ganna,64.75,30.33,112.77,7.74,1782.44,32.77,83.09,61.15
Ganna,66.82,82.95,48.68,5.29,1474.7,34.59,83.27,89.61
Ganna,64.83,55.03,56.62,6.61,1218.03,23.32,74.73,69.06
Ganna,98.04,60.27,94.18,4.95,2279.48,29.58,89.96,69.29
Ganna,50.0,38.05,77.85,6.48,2219.06,24.9,86.87,72.05
Ganna,47.56,87.21,91.02,8.1,1959.98,27.51,89.13,70.55
Ganna,66.51,27.03,84.45,6.34,2040.66,26.08,88.56,80.97
Ganna,144.03,43.3,91.89,6.53,1266.93,24.48,83.43,66.48
Ganna,75.24,32.64,103.7,6.31,2697.85,26.43,84.6,80.18
Ganna,109.11,36.24,71.38,7.97,2539.11,28.01,85.23,73.39
Ganna,153.79,31.55,110.77,7.6,1655.02,23.18,83.35,65.07
Ganna,57.24,20.56,46.4,5.03,2892.74,33.53,82.71,80.63
Ganna,165.11,68.76,88.3,8.42,1569.44,23.83,70.28,70.22
Ganna,76.34,54.01,26.7,5.42,2453.36,31.02,88.77,80.48
Ganna,79.86,65.13,59.68,5.76,2746.04,33.66,71.27,79.23
Ganna,55.26,81.78,27.0,8.22,2463.18,23.1,82.56,71.84
Ganna,56.21,60.68,77.24,5.12,2756.17,24.31,74.52,88.58
Ganna,46.79,42.93,91.21,7.33,2460.5,34.88,79.25,73.39
Ganna,177.99,28.66,64.89,6.46,1270.36,26.32,77.67,74.02
Ganna,56.37,89.24,38.21,5.28,2705.67,28.38,76.59,82.4
Ganna,170.86,76.28,103.33,8.21,2477.82,33.87,87.18,83.05
Ganna,110.61,23.14,35.17,4.8,2353.46,29.52,72.63,69.95
Ganna,133.47,75.16,24.15,7.09,1604.1,33.42,70.61,55.05
Ganna,97.42,55.27,38.77,5.6,2093.22,30.05,73.88,73.21
Ganna,126.07,67.18,119.58,6.65,1422.29,29.46,86.53,70.18
Ganna,166.58,22.77,114.46,6.39,2098.6,31.37,72.39,83.05
Ganna,114.87,50.88,61.92,8.01,1965.26,34.6,84.34,71.0
Ganna,178.91,85.41,80.62,8.07,2542.3,23.73,86.81,54.82
Ganna,57.5,22.49,102.32,7.54,2873.84,32.2,73.16,76.78
Ganna,140.4,67.94,81.34,7.52,1397.85,26.97,77.81,82.34
Ganna,156.1,62.53,83.19,7.24,1579.71,22.94,89.95,74.02
Ganna,85.43,32.66,65.1,6.1,1503.39,24.76,82.6,74.88
Ganna,46.03,55.09,52.31,6.66,2440.02,26.65,89.3,82.65
Ganna,148.31,80.15,58.7,4.7,2740.45,34.36,88.88,68.31
Ganna,113.93,87.21,77.85,5.65,1632.55,32.2,79.5,69.03
Ganna,95.38,30.22,58.82,7.52,2801.89,31.98,86.9,67.73
Ganna,46.79,67.57,33.28,8.4,1262.9,30.26,81.92,64.74
Ganna,105.09,33.58,73.31,8.08,1537.19,22.01,85.43,73.28
Ganna,175.76,35.43,40.28,6.05,2782.12,26.29,70.4,81.81
Ganna,89.48,57.85,30.11,7.61,1822.19,29.34,81.57,70.46
Ganna,54.55,35.7,57.38,8.18,2885.91,31.05,81.76,79.5
Ganna,130.3,88.97,21.74,7.53,2562.84,28.62,75.2,80.43
Ganna,53.61,67.02,31.21,7.48,1960.39,28.32,73.55,76.36
Ganna,112.0,44.54,34.57,5.69,1741.95,25.53,82.94,58.18
Ganna,49.88,78.24,29.36,4.51,1933.75,22.95,83.57,87.61
Ganna,72.41,85.83,83.42,5.84,2072.29,29.55,84.88,84.45
Ganna,95.13,51.28,106.52,5.19,1371.6,25.95,89.0,73.02
Ganna,79.73,84.7,30.26,4.8,1520.44,30.77,75.97,80.24
Ganna,179.02,81.9,40.52,7.12,2200.36,34.41,89.26,72.19
Ganna,61.89,21.11,43.88,8.15,1693.01,26.74,70.65,82.04
Ganna,99.9,50.7,58.34,6.1,2152.01,27.65,87.43,64.5
Ganna,68.88,89.9,23.48,5.63,2102.87,30.72,77.66,66.28
Ganna,66.68,81.88,109.86,7.14,2539.31,27.28,86.78,84.15
Ganna,82.6,27.91,71.52,8.03,2903.68,32.57,71.34,75.1
Ganna,137.64,35.99,82.14,5.57,1302.32,30.17,73.27,67.82
Ganna,94.34,31.04,97.16,6.53,1616.19,25.96,83.8,80.95
Ganna,77.07,33.89,61.09,6.79,2131.06,24.28,72.83,82.16
Ganna,108.69,86.44,44.91,5.13,2954.08,30.73,83.56,65.36
Ganna,124.62,65.45,44.7,5.05,2756.88,29.69,84.31,91.24
Ganna,80.4,21.41,59.62,7.75,1329.45,27.24,82.29,69.52
Ganna,43.78,45.65,90.23,6.97,1469.15,27.82,88.46,72.72
Ganna,121.62,33.98,116.67,7.01,1350.24,33.13,78.59,71.07
Ganna,87.46,85.15,38.54,7.96,2140.2,31.78,73.12,79.93
Ganna,81.59,40.81,46.63,5.65,1686.29,27.67,75.99,83.87
Ganna,99.14,80.96,25.48,6.12,2447.27,27.41,77.5,75.36
Ganna,95.08,47.09,88.95,8.35,1248.73,24.08,79.26,90.4
Ganna,70.49,69.22,95.67,5.34,1842.48,31.34,71.44,73.46
Ganna,106.14,53.71,98.81,5.72,2627.81,29.84,74.49,82.12
Ganna,111.39,74.78,27.21,7.89,2541.56,33.63,73.38,69.66
Ganna,145.57,55.33,62.67,4.92,2586.69,34.58,72.12,65.7
Ganna,157.49,52.31,80.93,6.9,1703.26,31.28,82.25,69.78
Ganna,159.57,48.49,75.14,5.21,2714.26,22.95,76.23,97.32
Ganna,41.5,83.91,75.9,6.39,2024.59,27.22,71.81,79.15
Ganna,77.26,25.02,57.84,5.14,2624.12,34.18,80.07,74.59
Ganna,168.24,63.1,82.89,7.53,2028.26,34.25,77.74,77.01
Ganna,43.59,38.4,55.48,5.02,1954.85,26.12,88.6,65.93
Ganna,145.13,52.52,68.35,4.95,1247.4,28.29,78.42,81.86
Ganna,132.88,33.52,32.55,8.47,1449.32,22.21,84.9,72.57
Ganna,50.1,76.87,74.01,5.82,1920.05,31.99,83.47,71.9
Ganna,130.97,24.75,78.84,4.58,1563.0,25.83,74.52,77.66
Ganna,70.67,58.59,103.89,8.21,1846.91,32.4,86.25,83.95
Ganna,155.87,75.23,94.66,8.29,1286.45,33.05,71.14,85.54
Ganna,41.78,58.93,24.43,5.76,2518.81,30.35,85.28,78.24
Ganna,87.16,56.86,71.14,5.15,2242.53,34.46,80.08,79.85
Ganna,55.5,48.82,94.9,6.11,2904.42,32.74,71.12,73.86
Ganna,65.47,81.5,29.37,6.96,2672.46,29.92,88.81,73.08
Kapaas,160.44,61.26,105.26,7.81,884.77,30.77,72.21,1.9
Kapaas,76.14,72.5,89.87,8.36,1012.33,30.67,59.15,2.01
Kapaas,73.78,35.43,114.85,6.05,1042.53,28.37,51.72,1.78
Kapaas,79.48,23.67,49.44,5.07,627.93,20.75,61.66,1.74
Kapaas,77.55,43.88,59.57,7.43,1154.1,24.52,68.68,2.06
Kapaas,50.8,48.63,20.34,8.42,663.27,22.9,64.06,1.93
Kapaas,109.07,49.95,22.75,7.59,645.9,18.81,60.97,2.22
Kapaas,159.45,80.61,48.43,7.01,835.91,27.46,65.57,1.96
Kapaas,140.72,30.46,79.86,7.42,582.02,24.33,73.02,1.85
Kapaas,122.24,62.99,82.49,7.97,1122.0,20.83,52.8,1.54
Kapaas,152.74,27.4,49.22,5.99,643.83,29.76,69.88,1.8
Kapaas,152.43,49.66,49.58,5.71,1128.58,25.65,56.66,2.16
Kapaas,163.58,39.15,102.53,6.0,581.07,25.8,66.7,2.14
Kapaas,151.78,51.81,75.29,4.76,677.81,28.31,71.53,1.88
Kapaas,123.39,52.82,33.1,4.82,906.61,28.04,64.45,2.08
Kapaas,71.73,31.28,68.11,8.36,919.13,19.75,69.74,1.96
Kapaas,128.44,63.36,97.86,6.5,572.49,30.53,59.86,2.37
Kapaas,93.67,60.83,60.85,8.44,760.67,25.33,66.99,1.93
Kapaas,134.39,53.76,117.06,5.56,799.61,25.47,71.03,1.92
Kapaas,148.11,78.67,31.35,7.71,906.88,30.67,65.44,1.95
Kapaas,79.64,39.55,61.25,5.11,652.85,31.31,70.54,2.09
Kapaas,126.09,63.44,61.97,6.42,706.28,29.03,54.56,2.02
Kapaas,137.54,78.3,43.89,5.2,1017.48,24.37,74.75,2.07
Kapaas,97.83,56.16,50.46,6.18,566.38,24.89,51.63,1.82
Kapaas,46.46,50.14,75.63,6.96,800.1,19.0,53.16,2.12
Kapaas,129.37,70.71,66.87,8.37,1192.95,31.51,64.62,2.19
Kapaas,69.6,67.29,78.7,7.58,458.32,26.66,73.67,1.93
Kapaas,108.25,27.53,24.22,6.23,1102.77,23.35,59.67,1.85
Kapaas,116.81,83.33,25.01,5.54,956.14,23.51,72.84,1.78
Kapaas,86.98,32.76,35.15,5.0,807.37,23.6,71.57,2.22
Kapaas,169.76,44.25,87.89,8.11,991.29,18.73,69.23,1.9
Kapaas,51.62,66.08,20.25,8.18,492.27,21.81,65.96,1.86
Kapaas,142.69,58.46,104.8,5.19,1156.26,18.02,59.46,2.04
Kapaas,106.16,75.38,115.92,7.71,1067.68,24.01,63.12,1.98
Kapaas,125.48,29.92,28.06,6.24,1113.1,25.81,69.99,2.11
Kapaas,177.17,47.81,56.48,6.94,612.18,27.75,62.69,2.09
Kapaas,53.45,66.91,55.8,7.77,401.81,28.4,65.81,2.11
Kapaas,174.37,87.16,105.99,4.65,1038.82,27.83,54.18,2.09
Kapaas,54.07,80.04,90.91,5.95,700.92,18.88,50.69,2.32
Kapaas,117.09,82.51,72.97,4.79,1064.28,26.43,56.51,1.67
Kapaas,145.46,30.18,89.63,5.71,612.88,18.09,66.8,2.22
Kapaas,83.63,75.87,87.06,6.37,952.39,22.23,55.19,1.99
Kapaas,156.36,62.03,38.58,5.39,695.17,24.01,59.64,2.15
Kapaas,168.38,86.59,78.73,7.74,1148.79,26.69,50.25,1.99
Kapaas,54.33,43.78,100.5,7.33,465.69,28.7,53.37,2.22
Kapaas,137.23,66.11,92.94,6.98,702.79,24.66,50.85,1.96
Kapaas,48.65,21.3,54.16,6.54,1076.0,25.49,73.25,1.67
Kapaas,171.87,20.69,32.91,8.44,1070.1,26.41,52.06,2.26
Kapaas,148.06,31.21,42.73,4.81,470.03,25.86,64.64,1.61
Kapaas,66.01,27.52,71.06,8.2,680.86,23.76,73.07,1.87
Kapaas,112.28,28.74,29.59,7.21,982.05,27.79,74.02,1.75
Kapaas,65.38,60.97,89.06,5.59,1192.22,26.8,54.67,2.33
Kapaas,96.0,84.84,110.52,7.91,1033.24,21.69,67.93,1.89
Kapaas,155.77,69.07,47.74,6.66,502.37,18.74,64.77,1.94
Kapaas,63.52,76.26,53.75,6.85,452.69,20.63,73.45,1.97
Kapaas,79.11,46.42,26.06,5.88,459.49,19.6,62.07,2.12
Kapaas,117.34,27.97,115.53,8.26,809.4,18.78,65.96,2.23
Kapaas,140.59,50.96,39.62,8.43,488.78,22.76,74.03,2.0
Kapaas,178.91,52.5,94.68,6.22,523.98,18.83,72.28,1.82
Kapaas,66.16,81.94,104.21,7.47,549.44,24.69,62.31,1.92
Kapaas,100.26,60.33,94.51,6.65,525.71,18.03,56.54,2.33
Kapaas,101.25,83.99,84.94,5.41,1117.37,30.44,51.74,1.71
Kapaas,93.61,26.46,111.12,6.4,440.96,27.83,68.1,2.03
Kapaas,63.19,31.34,21.66,5.33,515.96,22.09,50.95,1.94
Kapaas,149.89,84.39,28.67,7.34,839.68,29.68,50.47,1.75
Kapaas,158.06,74.74,100.12,5.49,590.22,29.31,72.46,1.71
Kapaas,123.17,36.08,68.18,5.42,472.31,18.96,72.03,2.03
Kapaas,114.08,85.09,27.28,8.16,854.27,25.27,70.41,2.22
Kapaas,72.54,52.83,59.91,8.09,1178.51,18.57,53.52,2.0
Kapaas,104.25,49.88,35.73,6.34,992.99,24.78,66.85,1.98
Kapaas,114.18,45.78,57.31,7.87,765.4,18.48,72.1,2.03
Kapaas,83.17,24.77,32.25,7.36,452.51,30.82,58.07,1.72
Kapaas,130.18,76.61,32.14,6.83,901.68,21.66,63.43,1.99
Kapaas,64.53,70.24,85.26,8.32,936.88,20.87,56.39,2.48
Kapaas,113.5,30.66,101.56,6.27,1034.29,30.8,50.23,2.42
Kapaas,51.23,62.13,83.1,7.64,931.52,21.83,58.13,1.99
Kapaas,95.57,20.78,94.55,7.22,999.12,24.07,66.86,2.08
Kapaas,73.07,55.8,118.76,4.97,799.53,24.94,62.46,1.84
Kapaas,66.58,39.28,72.4,7.73,759.96,24.09,55.62,1.99
Kapaas,61.16,88.22,72.02,7.98,1136.43,31.1,69.83,1.97
Kapaas,121.29,89.04,29.0,6.74,784.27,28.93,57.12,2.45
Kapaas,50.26,40.12,31.49,6.96,1107.11,27.74,66.95,2.28
Kapaas,87.77,61.95,57.67,7.83,794.8,26.85,72.6,2.1
Kapaas,159.02,86.12,21.37,6.42,419.98,27.73,60.64,1.89
Kapaas,179.87,31.48,52.01,5.58,617.34,25.25,74.24,1.63
Kapaas,140.07,87.95,100.12,7.8,771.23,26.39,51.56,2.24
Kapaas,147.85,53.55,39.26,6.63,790.09,20.78,64.5,1.88
Kapaas,124.35,82.88,102.53,5.95,980.7,31.49,58.24,1.95
Kapaas,71.7,83.23,113.3,7.47,1149.22,31.61,55.89,1.89
Kapaas,70.71,44.92,61.84,6.49,506.71,20.57,60.38,2.11
Kapaas,153.72,53.15,99.67,7.54,813.19,20.73,73.22,1.84
Kapaas,116.83,39.11,66.54,4.94,1197.72,29.99,62.55,2.42
Kapaas,79.46,44.87,93.38,7.66,700.74,26.74,57.91,2.08
Kapaas,108.17,85.49,60.14,7.46,608.66,30.23,73.61,1.91
Kapaas,98.5,56.24,79.4,7.41,954.99,31.02,57.66,2.08
Kapaas,161.57,86.42,23.01,4.89,812.16,23.56,55.81,2.11
Kapaas,131.11,59.74,92.69,7.42,934.85,25.57,54.37,2.05
Kapaas,130.55,51.32,102.61,7.16,423.34,22.95,60.7,1.97
Kapaas,46.67,58.16,62.96,6.83,829.53,27.34,60.2,2.11
Kapaas,173.58,79.31,87.72,8.4,1062.49,28.2,71.17,1.9
Kapaas,44.49,87.58,94.51,4.8,952.2,26.3,73.64,2.03
Kapaas,45.01,76.52,71.26,6.62,915.26,30.72,56.03,1.94
Kapaas,71.32,31.55,72.64,5.92,869.75,29.64,51.6,2.27
Kapaas,158.77,66.45,115.42,8.01,1057.21,21.22,60.19,1.66
Kapaas,150.27,54.85,77.37,5.04,578.45,20.06,72.49,2.08
Kapaas,74.7,76.89,52.25,4.58,846.51,31.41,64.35,1.94
Kapaas,129.75,26.13,65.98,7.97,762.7,26.55,58.79,1.74
Kapaas,166.36,22.46,45.56,6.81,966.53,23.28,56.08,1.87
Kapaas,112.13,43.57,46.59,5.54,1130.39,31.53,60.1,1.78
Kapaas,85.39,48.2,40.58,7.96,1062.79,22.55,53.89,1.72
Kapaas,45.86,71.0,47.24,4.9,781.48,21.48,73.43,1.82
Kapaas,91.24,72.14,103.12,8.43,521.26,21.98,66.3,1.68
Kapaas,152.53,61.51,21.19,4.52,1127.06,26.87,70.19,2.22
Kapaas,54.3,54.65,85.66,4.89,507.36,24.83,68.06,2.14
Kapaas,73.1,23.11,23.72,5.54,709.14,23.83,60.44,1.9
Kapaas,91.43,37.87,57.37,5.46,779.87,28.72,61.4,1.73
Kapaas,63.15,30.66,73.54,7.34,656.94,28.39,60.7,1.56
Kapaas,149.52,83.14,77.72,6.8,709.61,18.79,62.17,2.12
Kapaas,55.1,35.85,75.49,5.98,1131.31,19.28,53.85,1.93
Kapaas,47.94,41.76,70.96,6.92,1094.66,26.71,72.96,2.24
Kapaas,94.13,45.83,87.03,6.89,721.29,24.09,63.8,1.92
Kapaas,104.73,45.8,111.4,7.55,960.84,25.92,61.67,2.18
Kapaas,51.47,68.84,33.35,6.95,528.35,22.08,51.13,2.03
Kapaas,123.1,76.72,37.07,4.89,471.61,18.36,60.76,1.97
Kapaas,45.9,41.04,45.58,5.25,996.36,24.43,69.43,1.89
Kapaas,116.66,45.16,65.56,6.55,1171.96,31.96,66.83,1.99
Kapaas,174.43,30.43,23.95,7.31,568.8,19.55,67.88,2.04
Kapaas,102.25,37.78,69.74,8.14,910.01,23.46,51.72,2.23
Kapaas,135.58,83.54,36.31,6.63,873.85,20.92,71.67,2.25
Kapaas,56.79,38.92,116.94,5.49,658.89,28.32,64.26,1.73
Kapaas,57.8,40.08,20.23,6.66,1143.66,22.05,63.69,1.91
Kapaas,56.64,85.97,50.03,5.12,984.49,23.97,56.58,2.32
Kapaas,161.34,46.72,39.21,7.62,997.17,30.4,51.25,1.89
Kapaas,174.0,57.04,20.1,6.21,946.32,19.41,73.91,2.2
Kapaas,88.61,63.92,109.7,7.14,858.25,25.29,58.31,2.19
Kapaas,161.3,37.8,61.09,6.51,711.18,21.35,51.15,2.4
Kapaas,95.49,36.48,51.28,5.92,449.23,25.74,73.68,2.07
Kapaas,90.79,64.41,87.66,5.0,646.38,18.42,61.44,1.87
Kapaas,42.88,64.08,62.78,5.48,620.74,30.39,64.74,1.84
Kapaas,88.42,72.66,71.96,7.01,523.68,19.44,50.72,1.95
Kapaas,43.68,45.16,110.68,7.04,1067.06,28.9,57.19,2.06
Kapaas,83.39,28.7,57.6,4.72,728.65,24.12,73.12,2.27
Kapaas,158.97,60.25,46.09,5.85,993.95,24.9,74.08,1.94
Kapaas,178.25,89.22,41.16,7.29,548.94,21.11,52.02,2.2
Kapaas,56.46,87.5,24.07,6.67,948.88,28.06,63.88,1.55
Kapaas,44.71,51.23,69.95,8.33,1173.46,30.82,50.65,2.08
Kapaas,119.99,48.21,97.49,6.31,881.11,29.5,52.35,2.45
Kapaas,110.99,85.17,102.28,8.25,1089.77,31.18,62.73,2.03
Kapaas,71.52,57.27,86.38,6.46,746.83,18.45,63.57,2.07
Kapaas,90.39,33.95,79.59,5.62,435.67,29.83,56.74,1.73
Kapaas,106.98,37.17,107.57,5.49,1170.45,25.23,63.03,1.94
Kapaas,41.78,77.34,53.63,5.43,789.72,31.71,68.04,2.13
Kapaas,61.39,21.24,40.45,7.86,1148.99,25.3,64.28,2.03
Kapaas,115.03,83.36,59.86,7.88,1130.27,26.52,59.49,2.01
Kapaas,90.99,44.77,54.56,7.0,792.96,25.1,58.08,2.26
Kapaas,170.99,26.42,35.92,7.67,1119.0,29.88,73.13,2.17
Kapaas,106.85,69.45,102.72,7.02,510.84,22.28,60.3,1.97
Kapaas,130.19,47.51,47.55,4.91,801.02,18.75,72.18,1.92
Kapaas,158.27,89.82,79.26,8.28,1141.64,27.19,61.91,1.98
Kapaas,108.37,60.89,27.02,5.95,793.33,28.42,52.26,2.19
Kapaas,88.17,35.68,40.84,5.29,584.72,20.45,58.95,1.98
Kapaas,43.53,78.18,95.29,8.2,837.34,26.51,65.44,2.39
Kapaas,50.12,29.28,66.22,7.67,534.8,20.48,72.84,1.85
Kapaas,176.7,52.96,67.23,5.69,1104.24,23.23,64.55,2.13
Kapaas,80.19,26.54,117.28,5.2,477.71,28.25,57.77,2.04
Kapaas,139.37,37.93,85.94,8.05,1120.23,26.84,51.94,1.85
Kapaas,158.9,67.0,40.26,6.42,1186.09,24.62,68.09,1.74
Kapaas,158.88,64.0,110.07,6.9,819.96,22.12,64.7,2.11
Kapaas,136.59,68.15,32.69,8.02,460.28,20.14,71.83,1.94
Kapaas,105.18,81.14,41.1,8.07,916.26,29.05,50.08,2.16
Kapaas,159.68,55.98,90.44,7.86,882.74,25.3,51.16,2.21
Kapaas,102.41,66.57,47.77,8.14,999.56,24.95,57.3,1.87
Kapaas,132.24,46.81,68.1,6.78,1155.21,23.46,55.24,2.15
Kapaas,148.88,28.9,36.54,4.8,599.52,19.16,51.76,1.79
Kapaas,145.78,44.88,74.05,4.79,1091.1,25.44,58.78,2.12
Kapaas,111.15,58.69,37.31,5.09,982.55,25.37,59.61,2.34
Kapaas,121.99,69.72,37.27,7.38,1150.99,19.42,56.16,1.68
Kapaas,96.3,66.14,25.59,7.83,689.28,18.27,52.0,1.84
Kapaas,62.17,52.89,104.95,5.25,469.3,28.59,55.36,1.83
Kapaas,101.35,39.3,54.33,5.6,621.92,31.28,60.97,1.99
Kapaas,179.83,50.91,114.72,7.53,1064.82,23.24,66.25,2.03
Kapaas,103.78,45.82,73.07,8.33,670.96,31.78,71.03,2.07
Kapaas,170.44,87.78,98.13,5.84,697.25,25.89,60.52,1.96
Kapaas,61.58,73.78,63.42,8.06,750.84,28.96,59.67,1.92
Kapaas,167.56,31.21,116.83,7.76,784.14,19.3,73.46,2.36
Kapaas,172.48,59.5,90.62,5.77,1036.03,29.19,58.27,2.36
Kapaas,53.79,66.33,98.18,5.57,707.55,29.1,71.97,2.24
Kapaas,41.9,66.42,47.32,5.14,981.07,25.25,70.2,2.02
Kapaas,95.7,27.49,81.33,4.65,1024.96,30.26,69.02,1.85
Kapaas,120.66,25.58,30.07,6.72,833.55,26.28,58.23,1.84
Kapaas,113.28,56.35,27.65,6.29,799.66,31.67,66.59,1.98
Kapaas,99.3,42.44,67.21,7.2,944.95,23.91,62.15,2.26
Kapaas,156.22,57.45,31.82,6.2,820.77,24.02,62.31,2.06
Kapaas,131.66,45.61,81.2,7.73,845.34,31.04,59.19,2.12
Kapaas,80.38,68.97,86.65,8.26,452.79,30.06,73.7,1.72
Kapaas,129.74,25.63,87.84,7.57,846.05,19.25,63.58,2.21
Kapaas,78.06,89.18,75.95,5.78,792.14,29.82,62.25,1.91
Kapaas,132.24,68.71,58.06,5.77,723.02,23.76,59.36,1.74
Kapaas,176.3,73.25,48.72,5.24,419.43,20.69,74.69,1.9
Kapaas,88.17,26.66,41.99,8.09,923.27,27.39,64.7,2.09
Kapaas,46.36,49.57,117.89,5.89,907.4,29.47,61.6,1.91
Kapaas,70.96,73.22,100.86,6.64,616.72,26.82,51.55,1.91
Kapaas,56.14,40.68,66.54,8.29,941.52,20.65,55.08,2.01
Kapaas,167.9,30.09,76.33,5.14,716.9,27.79,54.6,2.0
Kapaas,139.54,34.21,62.58,4.98,679.63,31.29,69.6,2.26
Kapaas,58.12,76.14,99.73,4.66,1085.17,20.79,67.89,2.01
Kapaas,121.47,21.04,113.81,6.49,717.52,23.16,56.85,2.14
Kapaas,92.43,75.19,88.9,4.74,658.92,21.38,69.38,1.97
Kapaas,140.52,59.25,33.87,5.54,805.29,27.85,55.09,2.15
Kapaas,98.76,30.43,49.86,6.28,1109.5,21.9,64.47,2.15
Kapaas,49.84,83.54,107.09,5.35,896.08,19.18,64.61,1.92
Kapaas,102.64,20.11,89.28,6.62,1151.48,18.5,68.88,1.77
Kapaas,120.96,59.38,106.51,6.45,830.11,27.95,74.73,2.05
Kapaas,133.46,82.54,50.02,5.19,752.27,18.55,51.73,1.53
Kapaas,173.7,63.44,41.71,5.07,613.99,21.48,51.11,2.14
Kapaas,44.93,61.21,119.9,5.86,723.17,27.14,56.6,2.02
Kapaas,43.35,61.25,41.52,7.27,1020.72,28.27,53.68,1.9
Kapaas,44.11,51.98,50.18,6.66,836.12,21.32,56.96,1.99
Kapaas,86.27,89.35,54.53,7.66,840.58,21.04,51.05,2.03
Kapaas,116.25,69.69,71.84,8.5,795.26,23.01,72.21,1.9
Kapaas,117.23,69.08,49.89,7.12,477.45,31.44,57.0,1.98
Kapaas,175.87,37.78,101.67,4.53,536.58,20.39,63.43,2.41
Kapaas,137.52,79.03,90.04,6.44,726.05,31.44,52.34,2.12
Kapaas,168.04,87.74,60.72,7.67,1054.56,25.63,70.03,2.15
Kapaas,49.83,66.79,101.05,5.13,1129.84,21.78,50.64,1.8
Kapaas,136.69,23.69,59.72,7.46,1193.13,29.67,52.63,1.76
Kapaas,130.9,70.43,60.87,5.22,418.38,31.13,60.0,1.89
Kapaas,67.29,74.86,26.78,4.64,544.48,18.26,51.18,2.11
Kapaas,121.92,72.29,119.32,4.52,873.19,21.94,55.36,1.88
Kapaas,120.25,47.57,32.34,8.2,824.88,23.47,53.7,2.18
Kapaas,104.11,74.69,100.38,7.2,538.31,21.88,74.98,2.36
Kapaas,83.22,47.25,21.73,6.27,855.52,18.52,72.86,2.17
Kapaas,120.75,25.33,63.63,6.41,1144.88,28.24,61.89,1.98
Kapaas,53.9,21.73,85.61,7.59,901.56,21.56,73.81,2.11
Kapaas,154.99,61.83,102.59,4.54,1090.76,31.52,66.59,2.23
Kapaas,56.03,72.27,92.72,5.07,577.35,25.89,54.32,2.09
Kapaas,133.17,59.82,32.82,5.01,791.57,23.83,72.49,1.88
Kapaas,46.94,21.98,105.03,8.12,1007.8,23.9,72.09,1.66
Kapaas,56.41,35.55,48.08,7.83,964.66,23.04,54.08,1.91
Kapaas,124.49,25.56,70.06,7.86,743.14,23.72,59.86,1.71
Kapaas,73.74,85.38,69.41,7.05,511.57,30.89,59.64,1.83
Kapaas,104.48,49.3,57.87,6.19,618.55,24.55,72.37,1.85
Kapaas,174.99,70.01,41.97,7.31,701.7,31.1,70.11,2.36
Kapaas,167.34,34.88,50.18,5.07,1011.53,28.98,73.88,2.27
Kapaas,89.44,69.12,107.22,5.63,488.49,31.91,56.4,2.31
Kapaas,42.29,60.05,39.16,8.28,506.56,22.29,52.38,2.0
Kapaas,54.03,63.27,76.05,6.19,434.32,18.74,71.07,2.15
Kapaas,115.17,35.88,61.27,5.32,865.01,22.52,66.65,2.08
Kapaas,104.24,57.72,96.56,4.86,765.83,28.52,50.91,1.77
Kapaas,132.1,87.05,119.89,5.59,428.71,30.62,58.3,1.94
Kapaas,176.8,22.62,92.53,6.93,1169.87,19.57,72.77,1.84
Kapaas,118.53,61.0,20.26,5.26,519.42,29.45,66.63,2.5
Kapaas,157.09,45.19,111.04,5.93,1032.86,20.03,68.93,1.67
Kapaas,49.82,68.62,31.12,6.07,694.7,28.85,72.83,1.71
Kapaas,46.45,58.21,30.92,6.38,658.12,29.22,59.48,2.11
Kapaas,68.15,33.98,27.08,5.65,435.38,21.48,67.35,2.0
Kapaas,105.76,30.92,27.06,6.17,1180.27,27.74,65.56,2.34
Kapaas,161.01,80.17,109.75,6.13,1189.67,19.69,51.58,2.17
Kapaas,109.11,53.47,37.3,6.0,798.92,20.49,52.89,1.67
Kapaas,85.61,60.88,59.73,6.35,605.94,18.58,55.1,1.91
Kapaas,68.41,80.33,97.84,8.38,470.41,27.3,53.8,2.1
Kapaas,137.6,28.97,80.46,8.34,558.3,27.92,59.53,1.92
Kapaas,50.96,35.89,47.6,7.94,1137.66,29.28,74.32,2.2
Kapaas,55.8,29.18,54.32,8.44,461.5,31.26,60.48,2.02
Kapaas,103.24,35.39,40.01,8.13,620.18,25.81,56.44,2.17
Kapaas,91.73,34.78,89.4,8.31,487.22,20.83,67.13,2.03
